
Number of words: 1
Write; Address 0; Value 0; Time 101
Read; Address 0; Value 0; Time 102

Number of words: 2
Write; Address 0; Value 0; Time 101
Write; Address 4; Value 4; Time 102
Read; Address 0; Value 0; Time 103
Read; Address 4; Value 4; Time 104

Number of words: 4
Write; Address 0; Value 0; Time 101
Write; Address 4; Value 4; Time 102
Write; Address 8; Value 8; Time 103
Write; Address 12; Value 12; Time 104
Read; Address 0; Value 0; Time 105
Read; Address 4; Value 4; Time 106
Read; Address 8; Value 8; Time 107
Read; Address 12; Value 12; Time 108

Number of words: 8
Write; Address 0; Value 0; Time 101
Write; Address 4; Value 4; Time 102
Write; Address 8; Value 8; Time 103
Write; Address 12; Value 12; Time 104
Write; Address 16; Value 16; Time 105
Write; Address 20; Value 20; Time 106
Write; Address 24; Value 24; Time 107
Write; Address 28; Value 28; Time 108
Read; Address 0; Value 0; Time 109
Read; Address 4; Value 4; Time 110
Read; Address 8; Value 8; Time 111
Read; Address 12; Value 12; Time 112
Read; Address 16; Value 16; Time 113
Read; Address 20; Value 20; Time 114
Read; Address 24; Value 24; Time 115
Read; Address 28; Value 28; Time 116

Number of words: 16
Write; Address 0; Value 0; Time 101
Write; Address 4; Value 4; Time 102
Write; Address 8; Value 8; Time 103
Write; Address 12; Value 12; Time 104
Write; Address 16; Value 16; Time 105
Write; Address 20; Value 20; Time 106
Write; Address 24; Value 24; Time 107
Write; Address 28; Value 28; Time 108
Write; Address 32; Value 32; Time 109
Write; Address 36; Value 36; Time 110
Write; Address 40; Value 40; Time 111
Write; Address 44; Value 44; Time 112
Write; Address 48; Value 48; Time 113
Write; Address 52; Value 52; Time 114
Write; Address 56; Value 56; Time 115
Write; Address 60; Value 60; Time 116
Read; Address 0; Value 0; Time 117
Read; Address 4; Value 4; Time 118
Read; Address 8; Value 8; Time 119
Read; Address 12; Value 12; Time 120
Read; Address 16; Value 16; Time 121
Read; Address 20; Value 20; Time 122
Read; Address 24; Value 24; Time 123
Read; Address 28; Value 28; Time 124
Read; Address 32; Value 32; Time 125
Read; Address 36; Value 36; Time 126
Read; Address 40; Value 40; Time 127
Read; Address 44; Value 44; Time 128
Read; Address 48; Value 48; Time 129
Read; Address 52; Value 52; Time 130
Read; Address 56; Value 56; Time 131
Read; Address 60; Value 60; Time 132

Number of words: 32
Write; Address 0; Value 0; Time 101
Write; Address 4; Value 4; Time 102
Write; Address 8; Value 8; Time 103
Write; Address 12; Value 12; Time 104
Write; Address 16; Value 16; Time 105
Write; Address 20; Value 20; Time 106
Write; Address 24; Value 24; Time 107
Write; Address 28; Value 28; Time 108
Write; Address 32; Value 32; Time 109
